"","Labels","Levels","Class","Storage","NAs"
"SEQNUMC","UNIQUE CHILD IDENTIFIER",0,"character","character",0
"SEQNUMHH","UNIQUE HOUSEHOLD IDENTIFIER",0,"character","character",0
"PDAT","",2,"","integer",0
"PROVWT_C","FINAL SINGLE-FRAME CELL-PHONE PROVIDER-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",18028
"PROVWT_C_TERR","FINAL SINGLE-FRAME CELL-PHONE PROVIDER-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",17676
"RDDWT_C","FINAL SINGLE-FRAME CELL-PHONE RDD-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",1132
"RDDWT_C_TERR","FINAL SINGLE-FRAME CELL-PHONE RDD-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",0
"STRATUM","STRATUM VARIABLE FOR VARIANCE ESTIMATION",0,"integer","integer",0
"YEAR","YEAR OF INTERVIEW",0,"integer","integer",0
"AGECPOXR","",4,"","integer",35768
"HAD_CPOX","",4,"","integer",0
"AGEGRP","",3,"","integer",0
"BF_ENDR06","DURATION OF BREASTFEEDING IN DAYS (RECODE)",0,"numeric","double",7699
"BF_EXCLR06","DURATION OF EXCLUSIVE BREAST/FORMULA FEEDING IN DAYS (RECODE)",0,"numeric","double",6319
"BF_FORMR20","AGE IN DAYS WHEN CHILD FIRST FED FORMULA (RECODE)",0,"numeric","double",9245
"BFENDFL06","",1,"","integer",35993
"BFFORMFL06","",1,"","integer",35995
"C1R","",8,"","integer",0
"C5R","",6,"","integer",0
"CBF_01","",4,"","integer",0
"CEN_REG","",4,"","integer",1132
"CHILDNM","",5,"","integer",0
"CWIC_01","",5,"","integer",0
"CWIC_02","",4,"","integer",23186
"EDUC1","",6,"","integer",0
"FRSTBRN","",4,"","integer",0
"I_HISP_K","",5,"","integer",0
"INCPORAR","INCOME TO POVERTY RATIO (RECODE)",0,"numeric","double",2979
"INCPORAR_I","INCOME TO POVERTY RATIO: IMPUTED (RECODE)",0,"numeric","double",0
"INCPOV1","",4,"","integer",0
"INCQ298A","",14,"","integer",0
"LANGUAGE","",3,"","integer",0
"M_AGEGRP2","",4,"","integer",0
"MARITAL2","",2,"","integer",0
"MOBIL_I","",4,"","integer",0
"NUM_PHONE","",6,"","integer",32271
"NUM_CELLS_HH","",6,"","integer",0
"NUM_CELLS_PARENTS","",6,"","integer",183
"RACE_K","",3,"","integer",0
"RACEETHK","",4,"","integer",0
"RENT_OWN","",5,"","integer",0
"SEX","",4,"","integer",0
"ESTIAP21","",63,"","integer",0
"EST_GRANT","",56,"","integer",1132
"STATE","",54,"","integer",0
"D6R","",4,"","integer",3754
"D7","",2,"","integer",13723
"N_PRVR","",4,"","integer",0
"PROV_FAC","",7,"","integer",17897
"REGISTRY","",4,"","integer",17897
"VFC_ORDER","",4,"","integer",17897
"HEP_BRTH","",2,"","integer",18049
"HEP_FLAG","",2,"","integer",35902
"P_NUHEPX","NUMBER OF HEPATITIS B-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
